Tit for Tat with Random, 2, Tit for Tat with Random, 10, COOPERATE, COOPERATE, 1, 1
Tit for Tat, 6, Opposite, 9, DEFECT, COOPERATE, 2, 0
Always Defect, 3, Tit for Tat with Random, 15, DEFECT, COOPERATE, 2, 0
Opposite, 1, Random, 8, COOPERATE, DEFECT, 0, 2
Tit for Tat, 0, Random, 18, DEFECT, DEFECT, 0, 0
Tit for Tat with Random, 2, Tit for Tat, 17, COOPERATE, COOPERATE, 1, 1
Random, 14, Tit for Tat, 19, DEFECT, COOPERATE, 2, 0
Tit for Tat with Random, 7, Always Defect, 13, COOPERATE, DEFECT, 0, 2
Tit for Tat, 5, Tit for Tat, 11, COOPERATE, COOPERATE, 1, 1
Tit for Tat with Random, 7, Tit for Tat with Random, 15, COOPERATE, DEFECT, 0, 2
Opposite, 1, Random, 8, COOPERATE, COOPERATE, 1, 1
Tit for Tat, 5, Tit for Tat, 17, COOPERATE, COOPERATE, 1, 1
Always Defect, 3, Always Defect, 4, DEFECT, DEFECT, 0, 0
Tit for Tat, 0, Tit for Tat with Random, 2, COOPERATE, DEFECT, 0, 2
Tit for Tat, 6, Random, 18, DEFECT, COOPERATE, 2, 0
Tit for Tat, 16, Tit for Tat, 19, COOPERATE, COOPERATE, 1, 1
Tit for Tat with Random, 10, Tit for Tat, 11, DEFECT, DEFECT, 0, 0
Always Co-operate, 12, Always Defect, 13, COOPERATE, DEFECT, 0, 2
Opposite, 9, Random, 14, COOPERATE, COOPERATE, 1, 1
Tit for Tat with Random, 15, Tit for Tat, 16, DEFECT, COOPERATE, 2, 0
Always Defect, 4, Tit for Tat, 11, DEFECT, DEFECT, 0, 0
Tit for Tat, 0, Random, 14, COOPERATE, DEFECT, 0, 2
Tit for Tat with Random, 2, Random, 18, COOPERATE, COOPERATE, 1, 1
Tit for Tat with Random, 7, Always Co-operate, 12, DEFECT, COOPERATE, 2, 0
Tit for Tat, 6, Random, 8, COOPERATE, DEFECT, 0, 2
Opposite, 9, Tit for Tat, 17, COOPERATE, DEFECT, 0, 2
Tit for Tat, 5, Tit for Tat with Random, 10, DEFECT, COOPERATE, 2, 0
Always Defect, 3, Always Defect, 13, DEFECT, DEFECT, 0, 0
Opposite, 1, Tit for Tat, 19, DEFECT, DEFECT, 0, 0
Always Defect, 4, Random, 18, DEFECT, DEFECT, 0, 0
Always Defect, 13, Random, 14, DEFECT, DEFECT, 0, 0
Tit for Tat with Random, 7, Tit for Tat with Random, 15, COOPERATE, DEFECT, 0, 2
Tit for Tat, 11, Tit for Tat, 19, COOPERATE, COOPERATE, 1, 1
Tit for Tat, 5, Tit for Tat with Random, 10, COOPERATE, COOPERATE, 1, 1
Always Defect, 3, Always Co-operate, 12, DEFECT, COOPERATE, 2, 0
Random, 8, Opposite, 9, DEFECT, COOPERATE, 2, 0
Tit for Tat, 0, Tit for Tat, 16, COOPERATE, COOPERATE, 1, 1
Tit for Tat with Random, 2, Tit for Tat, 6, COOPERATE, COOPERATE, 1, 1
Opposite, 1, Tit for Tat, 17, COOPERATE, DEFECT, 0, 2
Tit for Tat, 0, Tit for Tat, 6, COOPERATE, COOPERATE, 1, 1
Opposite, 1, Tit for Tat, 5, DEFECT, COOPERATE, 2, 0
Random, 18, Tit for Tat, 19, DEFECT, DEFECT, 0, 0
Random, 8, Tit for Tat with Random, 10, COOPERATE, COOPERATE, 1, 1
Tit for Tat with Random, 7, Tit for Tat, 11, COOPERATE, COOPERATE, 1, 1
Always Defect, 3, Always Co-operate, 12, DEFECT, COOPERATE, 2, 0
Tit for Tat with Random, 2, Always Defect, 4, COOPERATE, DEFECT, 0, 2
Opposite, 9, Tit for Tat, 17, COOPERATE, COOPERATE, 1, 1
Always Defect, 13, Tit for Tat with Random, 15, DEFECT, COOPERATE, 2, 0
Random, 14, Tit for Tat, 16, COOPERATE, DEFECT, 0, 2
Opposite, 9, Tit for Tat, 17, DEFECT, COOPERATE, 2, 0
Tit for Tat with Random, 10, Random, 18, COOPERATE, COOPERATE, 1, 1
Always Defect, 13, Tit for Tat, 19, DEFECT, DEFECT, 0, 0
Tit for Tat with Random, 2, Tit for Tat with Random, 7, DEFECT, COOPERATE, 2, 0
Random, 8, Random, 14, COOPERATE, DEFECT, 0, 2
Always Co-operate, 12, Tit for Tat with Random, 15, COOPERATE, COOPERATE, 1, 1
Opposite, 1, Tit for Tat, 11, DEFECT, COOPERATE, 2, 0
Tit for Tat, 0, Always Defect, 4, DEFECT, DEFECT, 0, 0
Always Defect, 3, Tit for Tat, 16, DEFECT, DEFECT, 0, 0
Tit for Tat, 5, Tit for Tat, 6, COOPERATE, COOPERATE, 1, 1
Random, 14, Random, 18, DEFECT, DEFECT, 0, 0
Opposite, 9, Tit for Tat, 11, DEFECT, COOPERATE, 2, 0
Tit for Tat, 16, Tit for Tat, 17, COOPERATE, COOPERATE, 1, 1
Tit for Tat, 6, Tit for Tat with Random, 15, DEFECT, COOPERATE, 2, 0
Random, 8, Tit for Tat with Random, 10, DEFECT, DEFECT, 0, 0
Opposite, 1, Always Co-operate, 12, DEFECT, COOPERATE, 2, 0
Tit for Tat, 5, Tit for Tat, 19, COOPERATE, COOPERATE, 1, 1
Always Defect, 3, Always Defect, 4, DEFECT, DEFECT, 0, 0
Tit for Tat, 0, Tit for Tat with Random, 7, DEFECT, DEFECT, 0, 0
Tit for Tat with Random, 2, Always Defect, 13, COOPERATE, DEFECT, 0, 2
Always Defect, 3, Always Co-operate, 12, DEFECT, COOPERATE, 2, 0
Tit for Tat with Random, 7, Tit for Tat, 17, COOPERATE, COOPERATE, 1, 1
Always Defect, 4, Random, 8, DEFECT, DEFECT, 0, 0
Tit for Tat, 11, Always Defect, 13, DEFECT, DEFECT, 0, 0
Random, 14, Tit for Tat, 16, COOPERATE, COOPERATE, 1, 1
Opposite, 9, Tit for Tat, 19, DEFECT, DEFECT, 0, 0
Tit for Tat with Random, 2, Tit for Tat, 5, DEFECT, DEFECT, 0, 0
Tit for Tat, 0, Random, 18, DEFECT, DEFECT, 0, 0
Opposite, 1, Tit for Tat with Random, 10, COOPERATE, DEFECT, 0, 2
Tit for Tat, 6, Tit for Tat with Random, 15, COOPERATE, DEFECT, 0, 2
Opposite, 1, Tit for Tat, 11, DEFECT, DEFECT, 0, 0
Random, 14, Random, 18, COOPERATE, DEFECT, 0, 2
Always Defect, 4, Tit for Tat, 6, DEFECT, DEFECT, 0, 0
Tit for Tat, 5, Tit for Tat with Random, 7, DEFECT, DEFECT, 0, 0
Tit for Tat with Random, 15, Tit for Tat, 17, COOPERATE, COOPERATE, 1, 1
Tit for Tat, 0, Always Defect, 3, DEFECT, DEFECT, 0, 0
Opposite, 9, Tit for Tat with Random, 10, COOPERATE, COOPERATE, 1, 1
Always Defect, 13, Tit for Tat, 16, DEFECT, DEFECT, 0, 0
Random, 8, Always Co-operate, 12, DEFECT, COOPERATE, 2, 0
Tit for Tat with Random, 2, Tit for Tat, 19, DEFECT, DEFECT, 0, 0
Tit for Tat, 0, Tit for Tat with Random, 15, COOPERATE, DEFECT, 0, 2
Always Co-operate, 12, Tit for Tat, 19, COOPERATE, COOPERATE, 1, 1
Opposite, 1, Tit for Tat, 6, DEFECT, COOPERATE, 2, 0
Tit for Tat, 5, Tit for Tat with Random, 7, DEFECT, COOPERATE, 2, 0
Tit for Tat, 11, Tit for Tat, 16, COOPERATE, COOPERATE, 1, 1
Tit for Tat with Random, 2, Tit for Tat, 17, DEFECT, COOPERATE, 2, 0
Random, 8, Random, 18, COOPERATE, DEFECT, 0, 2
Always Defect, 4, Tit for Tat with Random, 10, DEFECT, COOPERATE, 2, 0
Always Defect, 3, Always Defect, 13, DEFECT, DEFECT, 0, 0
Opposite, 9, Random, 14, DEFECT, DEFECT, 0, 0
Tit for Tat with Random, 2, Random, 18, DEFECT, DEFECT, 0, 0
Tit for Tat, 5, Always Co-operate, 12, COOPERATE, COOPERATE, 1, 1
Opposite, 1, Tit for Tat, 6, DEFECT, DEFECT, 0, 0
Tit for Tat, 0, Opposite, 9, COOPERATE, COOPERATE, 1, 1
Tit for Tat, 17, Tit for Tat, 19, COOPERATE, COOPERATE, 1, 1
Always Defect, 3, Always Defect, 4, DEFECT, DEFECT, 0, 0
Random, 14, Tit for Tat with Random, 15, DEFECT, COOPERATE, 2, 0
Tit for Tat with Random, 7, Tit for Tat, 11, DEFECT, COOPERATE, 2, 0
Random, 8, Tit for Tat with Random, 10, DEFECT, COOPERATE, 2, 0
Always Defect, 13, Tit for Tat, 16, DEFECT, DEFECT, 0, 0
Random, 8, Tit for Tat with Random, 10, DEFECT, COOPERATE, 2, 0
Random, 18, Tit for Tat, 19, DEFECT, DEFECT, 0, 0
Tit for Tat, 11, Tit for Tat, 17, COOPERATE, COOPERATE, 1, 1
Tit for Tat, 6, Always Co-operate, 12, COOPERATE, COOPERATE, 1, 1
Opposite, 1, Always Defect, 4, COOPERATE, DEFECT, 0, 2
Random, 14, Tit for Tat, 16, DEFECT, COOPERATE, 2, 0
Tit for Tat with Random, 7, Always Defect, 13, DEFECT, DEFECT, 0, 0
Tit for Tat, 0, Tit for Tat, 5, COOPERATE, COOPERATE, 1, 1
Tit for Tat with Random, 2, Always Defect, 3, COOPERATE, DEFECT, 0, 2
Opposite, 9, Tit for Tat with Random, 15, DEFECT, COOPERATE, 2, 0
Random, 14, Tit for Tat, 19, COOPERATE, DEFECT, 0, 2
Tit for Tat, 5, Always Co-operate, 12, COOPERATE, COOPERATE, 1, 1
Random, 8, Random, 18, DEFECT, COOPERATE, 2, 0
Always Defect, 3, Tit for Tat with Random, 7, DEFECT, COOPERATE, 2, 0
Opposite, 9, Tit for Tat with Random, 15, DEFECT, COOPERATE, 2, 0
Opposite, 1, Always Defect, 4, COOPERATE, DEFECT, 0, 2
Always Defect, 13, Tit for Tat, 17, DEFECT, DEFECT, 0, 0
Tit for Tat, 0, Tit for Tat with Random, 2, DEFECT, DEFECT, 0, 0
Tit for Tat, 6, Tit for Tat with Random, 10, DEFECT, DEFECT, 0, 0
Tit for Tat, 11, Tit for Tat, 16, COOPERATE, COOPERATE, 1, 1
Tit for Tat, 11, Tit for Tat, 17, COOPERATE, COOPERATE, 1, 1
Opposite, 1, Always Co-operate, 12, DEFECT, COOPERATE, 2, 0
Tit for Tat with Random, 2, Tit for Tat, 19, COOPERATE, DEFECT, 0, 2
Tit for Tat, 6, Tit for Tat, 16, COOPERATE, COOPERATE, 1, 1
Opposite, 9, Tit for Tat with Random, 10, DEFECT, DEFECT, 0, 0
Tit for Tat with Random, 7, Always Defect, 13, DEFECT, DEFECT, 0, 0
Tit for Tat, 0, Random, 14, DEFECT, COOPERATE, 2, 0
Always Defect, 3, Random, 18, DEFECT, COOPERATE, 2, 0
Always Defect, 4, Tit for Tat with Random, 15, DEFECT, COOPERATE, 2, 0
Tit for Tat, 5, Random, 8, COOPERATE, DEFECT, 0, 2
Random, 8, Tit for Tat, 16, DEFECT, DEFECT, 0, 0
Tit for Tat with Random, 10, Tit for Tat with Random, 15, COOPERATE, COOPERATE, 1, 1
Always Co-operate, 12, Random, 18, COOPERATE, COOPERATE, 1, 1
Tit for Tat with Random, 2, Always Defect, 4, COOPERATE, DEFECT, 0, 2
Always Defect, 3, Tit for Tat, 11, DEFECT, DEFECT, 0, 0
Tit for Tat with Random, 7, Tit for Tat, 19, DEFECT, COOPERATE, 2, 0
Opposite, 9, Random, 14, COOPERATE, COOPERATE, 1, 1
Tit for Tat, 0, Tit for Tat, 17, COOPERATE, COOPERATE, 1, 1
Tit for Tat, 5, Tit for Tat, 6, COOPERATE, COOPERATE, 1, 1
Opposite, 1, Always Defect, 13, COOPERATE, DEFECT, 0, 2
Always Co-operate, 12, Always Defect, 13, COOPERATE, DEFECT, 0, 2
Always Defect, 4, Tit for Tat, 19, DEFECT, DEFECT, 0, 0
Tit for Tat, 11, Random, 18, DEFECT, COOPERATE, 2, 0
Tit for Tat, 5, Tit for Tat with Random, 10, COOPERATE, DEFECT, 0, 2
Always Defect, 3, Random, 14, DEFECT, COOPERATE, 2, 0
Random, 8, Opposite, 9, DEFECT, COOPERATE, 2, 0
Opposite, 1, Tit for Tat, 17, COOPERATE, COOPERATE, 1, 1
Tit for Tat, 0, Tit for Tat, 6, COOPERATE, COOPERATE, 1, 1
Tit for Tat with Random, 2, Tit for Tat with Random, 15, DEFECT, COOPERATE, 2, 0
Tit for Tat with Random, 7, Tit for Tat, 16, DEFECT, DEFECT, 0, 0
Tit for Tat, 11, Random, 18, COOPERATE, COOPERATE, 1, 1
Tit for Tat, 0, Opposite, 9, COOPERATE, DEFECT, 0, 2
Tit for Tat with Random, 2, Tit for Tat with Random, 10, COOPERATE, COOPERATE, 1, 1
Opposite, 1, Tit for Tat with Random, 7, DEFECT, DEFECT, 0, 0
Tit for Tat, 16, Tit for Tat, 19, COOPERATE, COOPERATE, 1, 1
Always Co-operate, 12, Always Defect, 13, COOPERATE, DEFECT, 0, 2
Random, 8, Tit for Tat with Random, 15, DEFECT, COOPERATE, 2, 0
Always Defect, 4, Random, 14, DEFECT, COOPERATE, 2, 0
Always Defect, 3, Tit for Tat, 6, DEFECT, DEFECT, 0, 0
Tit for Tat, 5, Tit for Tat, 17, COOPERATE, COOPERATE, 1, 1
Always Defect, 4, Random, 8, DEFECT, COOPERATE, 2, 0
Tit for Tat, 5, Opposite, 9, COOPERATE, DEFECT, 0, 2
Tit for Tat, 16, Random, 18, COOPERATE, DEFECT, 0, 2
Tit for Tat, 0, Tit for Tat, 11, COOPERATE, COOPERATE, 1, 1
Tit for Tat with Random, 2, Always Co-operate, 12, DEFECT, COOPERATE, 2, 0
Always Defect, 3, Tit for Tat, 17, DEFECT, DEFECT, 0, 0
Always Defect, 13, Tit for Tat with Random, 15, DEFECT, DEFECT, 0, 0
Tit for Tat with Random, 7, Tit for Tat, 19, DEFECT, DEFECT, 0, 0
Tit for Tat, 6, Tit for Tat with Random, 10, DEFECT, DEFECT, 0, 0
Opposite, 1, Random, 14, DEFECT, COOPERATE, 2, 0
Opposite, 9, Tit for Tat with Random, 15, DEFECT, COOPERATE, 2, 0
Always Defect, 3, Tit for Tat with Random, 7, DEFECT, COOPERATE, 2, 0
Random, 8, Tit for Tat, 17, DEFECT, COOPERATE, 2, 0
Tit for Tat, 5, Tit for Tat, 6, COOPERATE, COOPERATE, 1, 1
Opposite, 1, Random, 14, DEFECT, DEFECT, 0, 0
Always Defect, 4, Tit for Tat, 16, DEFECT, DEFECT, 0, 0
Tit for Tat, 0, Tit for Tat with Random, 2, DEFECT, DEFECT, 0, 0
Random, 18, Tit for Tat, 19, DEFECT, DEFECT, 0, 0
Tit for Tat with Random, 10, Always Co-operate, 12, COOPERATE, COOPERATE, 1, 1
Tit for Tat, 11, Always Defect, 13, DEFECT, DEFECT, 0, 0
Tit for Tat, 17, Tit for Tat, 19, COOPERATE, COOPERATE, 1, 1
Random, 14, Tit for Tat with Random, 15, DEFECT, COOPERATE, 2, 0
Tit for Tat, 5, Always Defect, 13, DEFECT, DEFECT, 0, 0
Tit for Tat, 0, Tit for Tat, 16, COOPERATE, COOPERATE, 1, 1
Tit for Tat, 11, Always Co-operate, 12, COOPERATE, COOPERATE, 1, 1
Tit for Tat with Random, 7, Tit for Tat with Random, 10, DEFECT, COOPERATE, 2, 0
Always Defect, 4, Random, 18, DEFECT, COOPERATE, 2, 0
Tit for Tat, 6, Opposite, 9, COOPERATE, COOPERATE, 1, 1
Always Defect, 3, Random, 8, DEFECT, DEFECT, 0, 0
Opposite, 1, Tit for Tat with Random, 2, COOPERATE, COOPERATE, 1, 1
Always Defect, 4, Opposite, 9, DEFECT, COOPERATE, 2, 0
Tit for Tat, 6, Random, 8, DEFECT, DEFECT, 0, 0
Tit for Tat with Random, 2, Always Co-operate, 12, DEFECT, COOPERATE, 2, 0
Tit for Tat with Random, 10, Tit for Tat, 11, COOPERATE, DEFECT, 0, 2
Tit for Tat, 0, Tit for Tat with Random, 15, DEFECT, DEFECT, 0, 0
Tit for Tat, 16, Random, 18, DEFECT, COOPERATE, 2, 0
Opposite, 1, Tit for Tat, 19, COOPERATE, DEFECT, 0, 2
Always Defect, 3, Always Defect, 13, DEFECT, DEFECT, 0, 0
Tit for Tat, 5, Tit for Tat, 17, COOPERATE, COOPERATE, 1, 1
Tit for Tat with Random, 7, Random, 14, COOPERATE, DEFECT, 0, 2
Tit for Tat, 16, Tit for Tat, 19, COOPERATE, COOPERATE, 1, 1
Opposite, 1, Random, 14, COOPERATE, DEFECT, 0, 2
Always Defect, 4, Tit for Tat with Random, 10, DEFECT, DEFECT, 0, 0
Tit for Tat, 5, Tit for Tat with Random, 15, COOPERATE, COOPERATE, 1, 1
Random, 8, Tit for Tat, 11, COOPERATE, DEFECT, 0, 2
Tit for Tat, 0, Always Defect, 13, DEFECT, DEFECT, 0, 0
Tit for Tat, 17, Random, 18, DEFECT, DEFECT, 0, 0
Opposite, 9, Always Co-operate, 12, DEFECT, COOPERATE, 2, 0
Tit for Tat with Random, 2, Tit for Tat with Random, 7, DEFECT, COOPERATE, 2, 0
Always Defect, 3, Tit for Tat, 6, DEFECT, DEFECT, 0, 0
Always Defect, 4, Tit for Tat, 6, DEFECT, DEFECT, 0, 0
Tit for Tat, 5, Tit for Tat, 19, COOPERATE, COOPERATE, 1, 1
Opposite, 1, Tit for Tat, 17, DEFECT, COOPERATE, 2, 0
Always Co-operate, 12, Random, 14, COOPERATE, DEFECT, 0, 2
Tit for Tat with Random, 2, Tit for Tat with Random, 10, DEFECT, DEFECT, 0, 0
Always Defect, 13, Tit for Tat, 16, DEFECT, DEFECT, 0, 0
Tit for Tat with Random, 15, Random, 18, COOPERATE, COOPERATE, 1, 1
Tit for Tat, 0, Opposite, 9, DEFECT, DEFECT, 0, 0
Always Defect, 3, Tit for Tat with Random, 7, DEFECT, COOPERATE, 2, 0
Random, 8, Tit for Tat, 11, DEFECT, COOPERATE, 2, 0
Random, 14, Tit for Tat, 19, DEFECT, COOPERATE, 2, 0
Random, 8, Random, 18, COOPERATE, COOPERATE, 1, 1
Tit for Tat with Random, 7, Always Defect, 13, COOPERATE, DEFECT, 0, 2
Tit for Tat with Random, 2, Always Co-operate, 12, DEFECT, COOPERATE, 2, 0
Always Defect, 4, Opposite, 9, DEFECT, COOPERATE, 2, 0
Opposite, 1, Always Defect, 3, COOPERATE, DEFECT, 0, 2
Tit for Tat with Random, 10, Tit for Tat, 16, COOPERATE, DEFECT, 0, 2
Tit for Tat, 5, Tit for Tat, 6, COOPERATE, COOPERATE, 1, 1
Tit for Tat, 11, Tit for Tat, 17, COOPERATE, COOPERATE, 1, 1
Tit for Tat, 0, Tit for Tat with Random, 15, DEFECT, COOPERATE, 2, 0
Always Defect, 3, Tit for Tat, 5, DEFECT, DEFECT, 0, 0
Random, 14, Tit for Tat, 19, COOPERATE, DEFECT, 0, 2
Always Defect, 13, Tit for Tat, 17, DEFECT, DEFECT, 0, 0
Random, 8, Random, 18, COOPERATE, DEFECT, 0, 2
Tit for Tat, 0, Tit for Tat with Random, 15, COOPERATE, COOPERATE, 1, 1
Opposite, 1, Tit for Tat, 11, COOPERATE, DEFECT, 0, 2
Tit for Tat with Random, 2, Tit for Tat, 6, DEFECT, COOPERATE, 2, 0
Opposite, 9, Always Co-operate, 12, DEFECT, COOPERATE, 2, 0
Tit for Tat with Random, 10, Tit for Tat, 16, COOPERATE, COOPERATE, 1, 1
Always Defect, 4, Tit for Tat with Random, 7, DEFECT, COOPERATE, 2, 0
Random, 14, Tit for Tat, 19, DEFECT, COOPERATE, 2, 0
Tit for Tat, 5, Tit for Tat, 17, COOPERATE, COOPERATE, 1, 1
Tit for Tat with Random, 2, Opposite, 9, DEFECT, DEFECT, 0, 0
Opposite, 1, Tit for Tat with Random, 7, COOPERATE, COOPERATE, 1, 1
Tit for Tat, 11, Tit for Tat with Random, 15, DEFECT, DEFECT, 0, 0
Always Defect, 13, Tit for Tat, 16, DEFECT, DEFECT, 0, 0
Tit for Tat, 6, Random, 18, COOPERATE, DEFECT, 0, 2
Tit for Tat, 0, Random, 8, COOPERATE, COOPERATE, 1, 1
Always Defect, 3, Always Defect, 4, DEFECT, DEFECT, 0, 0
Tit for Tat with Random, 10, Always Co-operate, 12, DEFECT, COOPERATE, 2, 0
Opposite, 1, Random, 18, DEFECT, COOPERATE, 2, 0
Tit for Tat with Random, 7, Tit for Tat, 16, COOPERATE, DEFECT, 0, 2
Tit for Tat, 0, Tit for Tat, 5, COOPERATE, COOPERATE, 1, 1
Opposite, 9, Tit for Tat, 11, DEFECT, DEFECT, 0, 0
Random, 14, Tit for Tat with Random, 15, COOPERATE, COOPERATE, 1, 1
Random, 8, Always Co-operate, 12, DEFECT, COOPERATE, 2, 0
Tit for Tat, 6, Tit for Tat, 17, COOPERATE, COOPERATE, 1, 1
Always Defect, 13, Tit for Tat, 19, DEFECT, DEFECT, 0, 0
Tit for Tat with Random, 2, Always Defect, 3, COOPERATE, DEFECT, 0, 2
Always Defect, 4, Tit for Tat with Random, 10, DEFECT, COOPERATE, 2, 0
Tit for Tat, 0, Opposite, 1, COOPERATE, DEFECT, 0, 2
Always Defect, 4, Always Co-operate, 12, DEFECT, COOPERATE, 2, 0
Opposite, 9, Random, 14, DEFECT, DEFECT, 0, 0
Tit for Tat with Random, 15, Tit for Tat, 19, DEFECT, COOPERATE, 2, 0
Always Defect, 13, Tit for Tat, 17, DEFECT, DEFECT, 0, 0
Tit for Tat, 6, Tit for Tat, 16, COOPERATE, COOPERATE, 1, 1
Tit for Tat with Random, 2, Tit for Tat with Random, 10, COOPERATE, COOPERATE, 1, 1
Always Defect, 3, Tit for Tat with Random, 7, DEFECT, COOPERATE, 2, 0
Tit for Tat, 11, Random, 18, COOPERATE, COOPERATE, 1, 1
Tit for Tat, 5, Random, 8, DEFECT, COOPERATE, 2, 0
Tit for Tat, 5, Tit for Tat, 6, COOPERATE, COOPERATE, 1, 1
Tit for Tat with Random, 7, Random, 18, DEFECT, COOPERATE, 2, 0
Tit for Tat, 11, Always Defect, 13, DEFECT, DEFECT, 0, 0
Tit for Tat, 0, Always Co-operate, 12, COOPERATE, COOPERATE, 1, 1
Opposite, 9, Random, 14, COOPERATE, DEFECT, 0, 2
Opposite, 1, Tit for Tat with Random, 15, DEFECT, COOPERATE, 2, 0
Always Defect, 3, Tit for Tat with Random, 10, DEFECT, COOPERATE, 2, 0
Tit for Tat with Random, 2, Random, 8, COOPERATE, COOPERATE, 1, 1
Always Defect, 4, Tit for Tat, 19, DEFECT, DEFECT, 0, 0
Tit for Tat, 16, Tit for Tat, 17, COOPERATE, COOPERATE, 1, 1
Always Defect, 13, Tit for Tat, 17, DEFECT, DEFECT, 0, 0
Tit for Tat with Random, 7, Random, 8, COOPERATE, COOPERATE, 1, 1
Always Co-operate, 12, Tit for Tat, 16, COOPERATE, COOPERATE, 1, 1
Opposite, 9, Tit for Tat, 11, COOPERATE, DEFECT, 0, 2
Opposite, 1, Tit for Tat, 5, DEFECT, DEFECT, 0, 0
Tit for Tat with Random, 10, Random, 18, DEFECT, DEFECT, 0, 0
Always Defect, 3, Always Defect, 4, DEFECT, DEFECT, 0, 0
Tit for Tat with Random, 2, Tit for Tat, 19, COOPERATE, COOPERATE, 1, 1
Tit for Tat, 0, Random, 14, COOPERATE, DEFECT, 0, 2
Tit for Tat, 6, Tit for Tat with Random, 15, DEFECT, DEFECT, 0, 0
Always Defect, 3, Tit for Tat, 19, DEFECT, DEFECT, 0, 0
Tit for Tat, 0, Tit for Tat, 5, COOPERATE, COOPERATE, 1, 1
Always Defect, 4, Tit for Tat, 16, DEFECT, DEFECT, 0, 0
Tit for Tat with Random, 2, Tit for Tat with Random, 10, DEFECT, DEFECT, 0, 0
Tit for Tat, 6, Random, 14, COOPERATE, DEFECT, 0, 2
Always Co-operate, 12, Random, 18, COOPERATE, COOPERATE, 1, 1
Always Defect, 13, Tit for Tat, 17, DEFECT, DEFECT, 0, 0
Random, 8, Tit for Tat with Random, 15, DEFECT, COOPERATE, 2, 0
Tit for Tat with Random, 7, Tit for Tat, 11, DEFECT, DEFECT, 0, 0
Opposite, 1, Opposite, 9, DEFECT, COOPERATE, 2, 0
Tit for Tat, 0, Always Co-operate, 12, COOPERATE, COOPERATE, 1, 1
Opposite, 9, Tit for Tat, 17, DEFECT, DEFECT, 0, 0
Tit for Tat, 16, Tit for Tat, 19, COOPERATE, COOPERATE, 1, 1
Always Defect, 4, Tit for Tat, 5, DEFECT, DEFECT, 0, 0
Tit for Tat, 11, Random, 18, COOPERATE, DEFECT, 0, 2
Tit for Tat, 6, Tit for Tat with Random, 7, COOPERATE, COOPERATE, 1, 1
Tit for Tat with Random, 2, Tit for Tat with Random, 15, DEFECT, COOPERATE, 2, 0
Tit for Tat with Random, 10, Random, 14, COOPERATE, DEFECT, 0, 2
Random, 8, Always Defect, 13, DEFECT, DEFECT, 0, 0
Opposite, 1, Always Defect, 3, COOPERATE, DEFECT, 0, 2
Opposite, 9, Tit for Tat with Random, 15, DEFECT, COOPERATE, 2, 0
Always Defect, 13, Random, 14, DEFECT, DEFECT, 0, 0
Tit for Tat, 0, Tit for Tat, 5, COOPERATE, COOPERATE, 1, 1
Tit for Tat with Random, 10, Tit for Tat, 16, DEFECT, COOPERATE, 2, 0
Tit for Tat, 17, Random, 18, DEFECT, DEFECT, 0, 0
Tit for Tat with Random, 2, Always Defect, 3, COOPERATE, DEFECT, 0, 2
Tit for Tat, 6, Tit for Tat, 11, COOPERATE, COOPERATE, 1, 1
Random, 8, Tit for Tat, 19, COOPERATE, DEFECT, 0, 2
Opposite, 1, Always Defect, 4, COOPERATE, DEFECT, 0, 2
Tit for Tat with Random, 7, Always Co-operate, 12, DEFECT, COOPERATE, 2, 0
Random, 8, Tit for Tat, 17, COOPERATE, DEFECT, 0, 2
Always Defect, 4, Tit for Tat, 11, DEFECT, DEFECT, 0, 0
Always Defect, 3, Always Defect, 13, DEFECT, DEFECT, 0, 0
Tit for Tat, 5, Random, 14, DEFECT, COOPERATE, 2, 0
Opposite, 9, Random, 18, COOPERATE, COOPERATE, 1, 1
Tit for Tat with Random, 7, Tit for Tat, 19, COOPERATE, DEFECT, 0, 2
Tit for Tat, 6, Tit for Tat with Random, 10, DEFECT, COOPERATE, 2, 0
Tit for Tat with Random, 2, Tit for Tat, 16, DEFECT, DEFECT, 0, 0
Tit for Tat, 0, Always Co-operate, 12, COOPERATE, COOPERATE, 1, 1
Opposite, 1, Tit for Tat with Random, 15, DEFECT, COOPERATE, 2, 0
Tit for Tat, 0, Tit for Tat with Random, 15, COOPERATE, DEFECT, 0, 2
Tit for Tat, 6, Tit for Tat with Random, 7, COOPERATE, DEFECT, 0, 2
Always Defect, 4, Tit for Tat with Random, 10, DEFECT, COOPERATE, 2, 0
Random, 8, Tit for Tat, 16, DEFECT, DEFECT, 0, 0
Always Co-operate, 12, Always Defect, 13, COOPERATE, DEFECT, 0, 2
Opposite, 9, Tit for Tat, 19, COOPERATE, DEFECT, 0, 2
Opposite, 1, Random, 18, DEFECT, COOPERATE, 2, 0
Random, 14, Tit for Tat, 17, COOPERATE, DEFECT, 0, 2
Tit for Tat with Random, 2, Tit for Tat, 11, DEFECT, COOPERATE, 2, 0
Always Defect, 3, Tit for Tat, 5, DEFECT, DEFECT, 0, 0
Always Defect, 13, Tit for Tat, 19, DEFECT, DEFECT, 0, 0
Tit for Tat with Random, 15, Random, 18, DEFECT, DEFECT, 0, 0
Opposite, 1, Random, 8, DEFECT, COOPERATE, 2, 0
Always Defect, 3, Always Defect, 4, DEFECT, DEFECT, 0, 0
Tit for Tat with Random, 10, Tit for Tat, 17, DEFECT, COOPERATE, 2, 0
